,LinUCB,,,,"LinUCB+stdev,cluster","LinUCB+stdev,cluster+CBF"
0.92709,0.99145,0.0267,,,1.00093,1.04816
0.92767,0.99572,0.02687,,,1.00322,1.05064
0.92825,0.99715,0.02699,,,1.00082,1.05064
0.92886,1.00262,0.02712,,,0.99826,1.0482
0.92947,1.0029,0.02725,,,0.99518,1.05299
0.93009,1.00634,0.02722,,,0.99351,1.05212
0.93069,1.00381,0.02715,,,1.00119,1.05551
0.93125,1.00082,0.027,,,0.99942,1.06174
0.93177,0.99705,0.02708,,,0.99687,1.05988
0.9323,0.99904,0.02711,,,1.00041,1.05939
0.93283,1.00006,0.02705,,,1.00383,1.05513
0.93334,0.99823,0.02705,,,1.00306,1.0529
0.93383,0.99782,0.0271,,,1.00409,1.05926
0.93432,0.99728,0.02708,,,1.00244,1.06538
0.93482,1.00093,0.02733,,,1.00343,1.06896
0.93534,1.00393,0.0274,,,0.99639,1.06926
0.93585,1.00402,0.02737,,,0.99676,1.06251
0.93635,1.00336,0.02733,,,0.99909,1.06272
0.93684,1.00314,0.02731,,,0.99665,1.06735
0.93733,1.00311,0.02736,,,0.99294,1.07459
0.93779,1.00106,0.02736,,,0.99144,1.07417
0.93825,1.00221,0.02742,,,0.98963,1.07431
0.9387,1.00121,0.02739,,,0.98798,1.07373
0.93913,0.99922,0.02741,,,0.98503,1.07425
0.93955,0.99777,0.02729,,,0.98574,1.07541
0.93995,0.99718,0.02733,,,0.98455,1.07259
0.94036,0.99876,0.02746,,,0.9811,1.06862
0.94077,1.00061,0.02753,,,0.97837,1.06375
0.94118,1.00006,0.02771,,,0.97673,1.06742
0.94161,1.00511,0.02784,,,0.98176,1.07226
0.94206,1.00717,0.02795,,,0.98411,1.07165
0.94252,1.01077,0.02801,,,0.98333,1.07002
0.94297,1.01015,0.02801,,,0.98661,1.07222
0.94344,1.01355,0.02819,,,0.98999,1.07784
0.94391,1.01559,0.02817,,,0.98846,1.08065
0.94438,1.01572,0.02821,,,0.98948,1.0799
0.94484,1.01492,0.02815,,,0.99012,1.08255
0.94528,1.01375,0.02824,,,0.98624,1.08472
0.94573,1.01526,0.02831,,,0.98381,1.08541
0.94619,1.01841,0.02839,,,0.98443,1.08703
0.94664,1.01687,0.0284,,,0.98269,1.08929
0.94707,1.01504,0.02847,,,0.98654,1.08766
0.9475,1.01617,0.02851,,,0.99234,1.08669
0.94793,1.01582,0.02854,,,0.99192,1.08611
0.94834,1.01475,0.02864,,,0.99218,1.08474
0.94875,1.01491,0.0286,,,0.99439,1.08188
0.94914,1.01315,0.02854,,,0.99846,1.08267
0.94951,1.00919,0.0285,,,1.00356,1.08244
0.94987,1.00968,0.0286,,,1.00789,1.08147
0.95024,1.01193,0.02857,,,1.01372,1.08254
0.95059,1.00869,0.02849,,,1.0191,1.0815
0.95092,1.00763,0.02862,,,1.02294,1.08135
0.95129,1.01238,0.02882,,,1.02461,1.0793
0.95167,1.01721,0.02889,,,1.03215,1.08046
0.95204,1.0158,0.029,,,1.03326,1.0834
0.95241,1.01566,0.02905,,,1.03502,1.08786
0.9528,1.01968,0.02918,,,1.03483,1.08602
0.9532,1.02224,0.02934,,,1.0398,1.08944
0.95361,1.02576,0.02944,,,1.04396,1.09006
0.95402,1.02591,0.02944,,,1.04283,1.08592
0.95441,1.02373,0.02953,,,1.0437,1.08538
0.9548,1.02411,0.02955,,,1.04245,1.08649
0.95519,1.02488,0.02955,,,1.04651,1.08695
0.95557,1.02545,0.02956,,,1.0502,1.08946
0.95596,1.02513,0.02958,,,1.05464,1.08776
0.95633,1.02473,0.02965,,,1.05742,1.08943
0.95672,1.02765,0.02968,,,1.05731,1.0912
0.95709,1.02584,0.02979,,,1.05788,1.09188
0.95748,1.02892,0.02985,,,1.06134,1.09392
0.95787,1.02943,0.02994,,,1.06202,1.09387
0.95825,1.03027,0.02994,,,1.06325,1.09231
0.95863,1.0292,0.03,,,1.0634,1.09192
0.95899,1.02784,0.02998,,,1.06415,1.08973
0.95934,1.02581,0.02996,,,1.06462,1.09131
0.95968,1.02539,0.03,,,1.06541,1.09208
0.96003,1.02669,0.03003,,,1.0628,1.0903
0.96038,1.02818,0.03016,,,1.06207,1.08684
0.96073,1.0285,0.03012,,,1.06421,1.08623
0.96106,1.02517,0.03013,,,1.06633,1.08354
0.96139,1.02589,0.03029,,,1.06427,1.08561
0.96173,1.02847,0.03036,,,1.06503,1.09209
0.96207,1.02933,0.03038,,,1.06505,1.09476
0.9624,1.02825,0.03042,,,1.06703,1.09195
0.96273,1.0293,0.0305,,,1.0694,1.09208
0.96307,1.03186,0.03064,,,1.0688,1.09275
0.96341,1.03049,0.03061,,,1.07153,1.09063
0.96374,1.03219,0.03075,,,1.07587,1.09283
0.96409,1.0341,0.03086,,,1.07487,1.09188
0.96444,1.03741,0.03095,,,1.07458,1.0938
0.9648,1.03864,0.03109,,,1.07492,1.09207
0.96516,1.03874,0.0311,,,1.07618,1.09192
0.96551,1.03854,0.03114,,,1.07599,1.09078
0.96586,1.03866,0.0312,,,1.07406,1.09027
0.96621,1.04,0.03129,,,1.07317,1.09223
0.96658,1.04548,0.03161,,,1.0736,1.0941
0.96697,1.04943,0.03173,,,1.07291,1.09347
0.96736,1.05102,0.03176,,,1.07458,1.09542
0.96775,1.05049,0.03178,,,1.0738,1.09509
0.96812,1.04726,0.03173,,,1.07361,1.09859
0.96848,1.0459,0.03176,,,1.07467,1.09934
0.96883,1.04548,0.03186,,,1.07398,1.0983
0.96919,1.04747,0.03199,,,1.07379,1.09868
0.96956,1.05039,0.03207,,,1.07139,1.09829
0.96992,1.05017,0.0321,,,1.06914,1.09912
0.97028,1.04869,0.0321,,,1.06822,1.09978
0.97063,1.04883,0.03219,,,1.0693,1.09947
0.97099,1.05242,0.03239,,,1.07006,1.09802
0.97136,1.05413,0.03252,,,1.07295,1.09525
0.97174,1.05574,0.03255,,,1.07359,1.0917
0.97211,1.05556,0.0325,,,1.07294,1.09206
0.97247,1.05448,0.03251,,,1.072,1.0925
0.97283,1.0548,0.03271,,,1.07446,1.0919
0.9732,1.05739,0.0328,,,1.07522,1.0902
0.97356,1.05745,0.03273,,,1.0747,1.08896
0.97391,1.05522,0.03282,,,1.07577,1.08751
0.97426,1.05444,0.03276,,,1.07615,1.08582
