1.0,1.0,1.0
1.34621,1.69242,0.04103
1.27749,1.14006,0.03784
1.20654,0.99368,0.03293
1.17346,1.04113,0.03312
1.13998,0.97261,0.03021
1.12486,1.0341,0.0346
1.12375,1.11604,0.03414
1.11648,1.05828,0.03357
1.11959,1.14754,0.03829
1.12762,1.20793,0.03591
1.13417,1.2063,0.03787
1.13919,1.19937,0.03676
1.14113,1.16639,0.03537
1.13804,1.09476,0.03382
1.13422,1.07692,0.03291
1.13074,1.075,0.03283
1.12731,1.0691,0.03164
1.12401,1.06457,0.0323
1.12279,1.09959,0.03352
1.12187,1.10359,0.033
1.12034,1.08811,0.03259
1.1181,1.06874,0.03179
1.11563,1.05886,0.03172
1.11356,1.06383,0.03178
1.1114,1.05738,0.03101
1.10901,1.0471,0.03086
1.10654,1.03979,0.03061
1.10426,1.04036,0.03019
1.10213,1.04024,0.03054
1.10033,1.04642,0.03082
1.09874,1.04937,0.03076
1.09741,1.05502,0.03128
1.09642,1.06363,0.03111
1.09571,1.07147,0.03125
1.09504,1.07181,0.03113
1.0945,1.07492,0.03103
1.09382,1.06881,0.03039
1.09278,1.05334,0.03012
1.09141,1.03767,0.02936
1.08974,1.02329,0.0294
1.08805,1.01839,0.02895
1.08644,1.01902,0.029
1.08507,1.02598,0.02917
1.08382,1.0289,0.02908
1.08262,1.02847,0.02904
1.08129,1.02038,0.02893
1.07995,1.01696,0.0287
1.07873,1.02012,0.02893
1.07757,1.02066,0.02851
1.07627,1.0114,0.02847
1.07513,1.01711,0.02829
1.07392,1.01063,0.02842
1.07282,1.01456,0.02844
1.07168,1.0104,0.02839
1.0706,1.01089,0.0282
1.06952,1.00916,0.02827
1.06853,1.01219,0.02812
1.0676,1.01387,0.02815
1.06669,1.01292,0.02804
1.0658,1.01205,0.02796
1.06496,1.01394,0.02785
1.06415,1.01367,0.02794
1.06336,1.01405,0.02775
1.06257,1.0119,0.02768
1.06177,1.0095,0.02749
1.0611,1.01717,0.02792
1.06045,1.0168,0.02783
1.0599,1.02214,0.02788
1.05932,1.01931,0.02774
1.05866,1.0128,0.02757
1.05792,1.00536,0.02742
1.05716,1.00228,0.02732
1.05635,0.99749,0.02704
1.05547,0.98991,0.02699
1.05458,0.98819,0.02696
