LinUCB,’ñˆÄŽè–@,,’ñˆÄŽè–@
1.01875,1.03565,0.02912,1.04565
1.01888,1.03931,0.02922,1.04931
1.01901,1.03908,0.02921,1.04908
1.01911,1.03651,0.02928,1.04651
1.01925,1.04106,0.02943,1.05106
1.0194,1.04407,0.02955,1.05407
1.01955,1.0451,0.02957,1.0551
1.0197,1.04477,0.02954,1.05477
1.01984,1.04263,0.02947,1.05263
1.01997,1.04218,0.02955,1.05218
1.02011,1.0438,0.02967,1.0538
1.02025,1.04362,0.02964,1.05362
1.02039,1.04355,0.02986,1.05355
1.02054,1.04726,0.0299,1.05726
1.02071,1.05,0.03015,1.06
1.02091,1.05485,0.03017,1.06485
1.02108,1.05111,0.03011,1.06111
1.02124,1.05006,0.03021,1.06006
1.02139,1.04862,0.03016,1.05862
1.02153,1.04643,0.03008,1.05643
1.02166,1.0434,0.03009,1.0534
1.02178,1.04495,0.03016,1.05495
1.02192,1.04604,0.03017,1.05604
1.02204,1.04503,0.03019,1.05503
1.02218,1.04664,0.03026,1.05664
1.02231,1.04603,0.03031,1.05603
1.02243,1.04537,0.03031,1.05537
1.02255,1.04426,0.03033,1.05426
1.02267,1.04588,0.03045,1.05588
1.02281,1.04866,0.03061,1.05866
1.02295,1.04879,0.03064,1.05879
1.02308,1.0479,0.0306,1.0579
1.0232,1.04609,0.03061,1.05609
1.02331,1.04542,0.0306,1.05542
1.02344,1.04758,0.03076,1.05758
1.02357,1.04858,0.03071,1.05858
1.02368,1.04695,0.0308,1.05695
1.02381,1.04909,0.031,1.05909
1.02395,1.05065,0.03102,1.06065
1.02409,1.05177,0.03107,1.06177
1.02423,1.05262,0.03126,1.06262
1.02439,1.05549,0.0312,1.06549
1.02453,1.05259,0.03127,1.06259
1.02467,1.05319,0.03135,1.06319
1.02481,1.05429,0.03137,1.06429
1.02496,1.05463,0.03142,1.06463
1.02512,1.0576,0.03159,1.0676
1.02527,1.05704,0.0316,1.06704
1.02542,1.05644,0.03162,1.06644
1.02556,1.05523,0.03162,1.06523
1.02571,1.05664,0.03177,1.06664
1.02587,1.05999,0.03195,1.06999
1.02605,1.06232,0.03203,1.07232
1.02622,1.06327,0.03211,1.07327
1.0264,1.06396,0.03217,1.07396
1.02657,1.0639,0.0322,1.0739
1.02674,1.06299,0.03218,1.07299
1.0269,1.06079,0.03224,1.07079
1.02705,1.06068,0.03229,1.07068
1.02721,1.06263,0.03246,1.07263
1.02738,1.06404,0.03253,1.07404
1.02755,1.06452,0.03251,1.07452
1.02771,1.06192,0.0325,1.07192
1.02786,1.06298,0.0326,1.07298
1.02802,1.06346,0.03271,1.07346
1.02818,1.06289,0.0327,1.07289
1.02833,1.06171,0.03275,1.07171
1.02848,1.06262,0.03271,1.07262
1.02862,1.06065,0.03275,1.07065
1.02877,1.06392,0.033,1.07392
1.02894,1.067,0.03307,1.077
1.02911,1.06829,0.03315,1.07829
1.02928,1.0684,0.03318,1.0784
1.02944,1.06607,0.03317,1.07607
1.02959,1.06538,0.03316,1.07538
1.02974,1.06521,0.03321,1.07521
1.02989,1.0646,0.03318,1.0746
1.03003,1.0633,0.03322,1.0733
1.03018,1.06487,0.03333,1.07487
1.03032,1.0647,0.0333,1.0747
1.03047,1.06515,0.03336,1.07515
1.03061,1.06635,0.03345,1.07635
1.03076,1.06628,0.03346,1.07628
1.0309,1.06521,0.03341,1.07521
